date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:42	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:42%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/weekly_quiz_answers_it244/08_quiz_answers_it244.html	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/weekly_quiz_answers_it244/08_quiz_answers_it244.html	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/23_class_notes_it244.html)
11:54:43	68282/68282	---M-Z	200	added ('OK')	text/html	etag:%2210aba-567f5321c27cf-gzip%22	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/24_class_notes_it244.html)
11:54:44	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:44%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/22_exercise_arg_test_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/22_exercise_arg_test_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/22_exercise_it244.html)
11:54:45	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:45%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/23_exercise_arg_count_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/23_exercise_arg_count_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/23_exercise_it244.html)
11:54:46	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:46%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/23_exercise_arg_count_2_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/23_exercise_arg_count_2_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/23_exercise_it244.html)
11:54:47	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:47%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_for_1_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_for_1_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/24_exercise_it244.html)
11:54:48	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:48%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_for_2_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_for_2_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/24_exercise_it244.html)
11:54:49	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:49%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_for_3_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_for_3_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/24_exercise_it244.html)
11:54:50	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:50%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_count_to_five_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_count_to_five_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/24_exercise_it244.html)
11:54:51	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:51%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_count_until_it244.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/exercises_it244/exercise_images_it244/24_exercise_count_until_it244.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/exercises_it244/24_exercise_it244.html)
